TH: x=540.01, y=141.75
TJ: x=447.87, y=81.66
TM: x=462.27, y=92.59
TL: x=563.89, y=187.80
TN: x=349.01, y=98.31
path_208: x=1172.15, y=251.64
path_209: x=1127.80, y=236.90
TW: x=556.71, y=124.39
TZ: x=391.12, y=170.86
UG: x=396.74, y=160.26
UA: x=388.18, y=60.57
UY: x=234.11, y=241.99
UZ: x=452.99, y=79.10
VE: x=213.89, y=150.08
VN: x=527.47, y=123.28
YE: x=432.63, y=133.70
ZM: x=389.67, y=186.97
ZW: x=390.63, y=219.44
SO: x=411.68, y=174.82
XK: x=366.67, y=77.32
ZA: x=388.42, y=218.41
path_224: x=1858.15, y=783.73
path_225: x=1910.79, y=748.94
path_226: x=651.74, y=847.22
path_227: x=610.46, y=737.21
NL: x=337.95, y=61.57
PT: x=283.75, y=80.43
path_230: x=1687.23, y=180.78
path_231: x=1087.43, y=153.22
path_232: x=1539.34, y=46.84
path_233: x=1551.74, y=38.76
path_234: x=1520.57, y=37.11
path_235: x=1210.23, y=44.55
path_236: x=1423.44, y=117.36
path_237: x=1355.66, y=21.71
path_238: x=1155.55, y=13.23
path_239: x=1325.70, y=15.78
ES: x=328.80, y=78.30
path_241: x=1033.25, y=231.23
path_242: x=998.13, y=203.54
path_243: x=119.65, y=376.00
path_244: x=116.73, y=368.32
path_245: x=113.48, y=366.13
path_246: x=108.77, y=364.00
path_247: x=101.10, y=360.08
path_248: x=467.29, y=250.33
path_249: x=274.52, y=136.87
path_250: x=233.74, y=120.90
path_251: x=240.40, y=101.90
path_252: x=323.74, y=97.63
GF: x=225.93, y=161.80
AW: x=197.51, y=140.77
AI: x=211.50, y=128.50
path_256: x=27.13, y=593.71
path_257: x=33.98, y=593.25
path_258: x=640.55, y=392.19
path_259: x=640.84, y=388.65
BH: x=422.61, y=111.47
path_261: x=578.64, y=366.49
path_262: x=580.84, y=363.81
path_263: x=581.64, y=358.15
path_264: x=576.21, y=357.36
path_265: x=575.11, y=355.79
path_266: x=566.38, y=350.44
path_267: x=570.65, y=352.58
path_268: x=572.27, y=349.76
path_269: x=564.21, y=347.41
path_270: x=574.57, y=347.45
path_271: x=555.98, y=346.36
path_272: x=556.84, y=347.67
path_273: x=569.25, y=345.37
path_274: x=559.27, y=341.06
path_275: x=555.54, y=343.21
path_276: x=565.24, y=340.50
path_277: x=555.42, y=330.78
path_278: x=561.45, y=332.30
BL: x=211.73, y=129.17
BM: x=212.49, y=98.06
BB: x=216.98, y=139.39
path_282: x=1232.62, y=580.94
path_283: x=1236.58, y=580.24
path_284: x=1230.59, y=576.65
path_285: x=847.59, y=406.48
path_286: x=849.39, y=405.99
path_287: x=853.69, y=405.00
path_288: x=856.29, y=404.15
path_289: x=858.46, y=398.41
path_290: x=850.50, y=395.21
path_291: x=857.95, y=394.35
path_292: x=846.53, y=393.65
path_293: x=845.50, y=392.27
CW: x=199.83, y=141.62
path_295: x=533.40, y=377.83
path_296: x=540.40, y=375.40
path_297: x=541.71, y=375.23
path_298: x=1167.79, y=277.02
path_299: x=1162.55, y=277.68
DM: x=214.18, y=133.96
path_301: x=697.45, y=836.19
path_302: x=697.14, y=835.26
path_303: x=702.82, y=834.20
path_304: x=690.27, y=833.19
path_305: x=694.28, y=832.37
path_306: x=695.53, y=830.11
path_307: x=694.11, y=829.77
path_308: x=693.21, y=829.96
path_309: x=700.89, y=832.32
path_310: x=695.83, y=829.59
path_311: x=688.00, y=828.17
path_312: x=956.03, y=112.57
path_313: x=956.36, y=110.74
path_314: x=955.00, y=109.09
path_315: x=958.27, y=108.20
path_316: x=956.07, y=108.58
path_317: x=957.62, y=108.29
path_318: x=956.98, y=108.01
path_319: x=1909.06, y=467.70
path_320: x=1881.40, y=457.63
path_321: x=1766.26, y=440.73
GD: x=213.20, y=141.69
GU: x=600.76, y=138.91
path_324: x=636.16, y=391.72
path_325: x=635.16, y=390.45
LC: x=215.59, y=138.60
MF: x=211.37, y=128.90
MV: x=467.70, y=158.33
MH: x=1953.80, y=456.00
path_330: x=1063.26, y=271.41
path_331: x=1062.15, y=270.41
path_332: x=1802.44, y=410.94
path_333: x=1803.80, y=405.54
path_334: x=1804.22, y=404.39
path_335: x=1802.42, y=396.80
path_336: x=1800.80, y=385.45
path_337: x=1799.30, y=381.36
MS: x=212.80, y=131.49
path_339: x=1306.80, y=632.02
path_340: x=1339.66, y=628.38
path_341: x=1914.78, y=646.94
path_342: x=1919.46, y=639.96
path_343: x=1916.24, y=636.25
path_344: x=1913.02, y=634.19
path_345: x=1913.57, y=632.99
path_346: x=1905.83, y=638.69
path_347: x=1900.53, y=630.90
path_348: x=1898.25, y=628.60
NR: x=644.47, y=168.59
PW: x=582.48, y=151.20
